373	652	1264	SA410554	8031692	SP71108	8031692		43	41-60%
374	652	698	SA410559	8031694	SP71116	8031694			
375	652	1265	SA411698	8049749	SP72246	8049749		99	>81%
376	652	2479	SA411709	8049752	SP72254	8049752			
377	652	2480	SA410570	8031698	SP71124	8031698			
378	652	1266	SA411390	8044181	SP71942	8044181		99	>81%
379	730	1267	SA410803	8057473	SP75929	8057473		81	>81%
380	730	2481	SA410795	8057472	SP75921	8057472			
381	731	1268	SA410574	8031704	SP71132	8031704		64	61-80%
382	731	2482	SA410591	8031710	SP71148	8031710			
383	731	2483	SA410582	8031706	SP71140	8031706			
384	653	2484	SA528662	8051901	SP110729	8051901			
385	653	2485	SA528663	8052606	SP110730	8052606			
386	653	2486	SA410726	8057432	SP75849	8057432			
387	732	1269	SA410470	8031632	SP71028	8031632		15	1-20%
388	732	2487	SA410486	8031638	SP71044	8031638			
389	732	2488	SA410478	8031634	SP71036	8031634			
390	733	699	SA410718	8056406	SP75841	8056406			
391	654	1270	SA410787	8057450	SP75913	8057450		19	1-20%
392	654	1271	SA506640	8066034	SP102474	8066034		25	21-40%
393	654	700	SA528692	8067808	SP110777	8067808			
394	654	701	SA410779	8057449	SP75905	8057449			
395	654	702	SA506643	8065134	SP102478	8065134			
396	654	1272	SA528737	8068550	SP110778	8068550		16	1-20%
397	655	703	SA410543	8031674	SP71100	8031674			
398	655	704	SA410535	8031670	SP71092	8031670			
399	655	1273	SA410526	8031668	SP71084	8031668		57	41-60%
400	734	705	SA410510	8031659	SP71068	8031659			
401	734	706	SA410518	8031662	SP71076	8031662			
402	734	1274	SA410494	8031656	SP71052	8031656		34	21-40%
403	734	707	SA410502	8031658	SP71060	8031658			
404	656	708	SA410430	8031570	SP70988	8031570			
405	656	709	SA410438	8031574	SP70996	8031574			
406	656	1275	SA410422	8031568	SP70980	8031568		17	1-20%
407	735	710	SA410686	8053217	SP75809	8053217			
408	735	697	SA528690	8067561	SP110806	8067561			
